Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
1,Mariage,2,3673,162,1876-11-14,48/210
2,Mariage,2,6903,162,1857-06-15,287/447
3,Mariage,3,5874,238,1891-11-10,33/179
4,Mariage,4,7314,139,1844-09-11,329/455
5,Mariage,5,6287,363,1859-10-17,202/228
6,Mariage,6,6690,162,1818-04-07,323/393
7,Mariage,7,7466,42,1743-02-12,96/209
8,Mariage,8,7089,121,1835-11-11,420/492
9,Mariage,9,5371,42,1815-05-29,269/343
10,Publication de mariage,10,4031,144,1871-09-03,7/093
11,Mariage,11,5035,200,1672-08-01,114/138
12,Mariage,12,4026,281,1839-04-29,17/244
13,Mariage,13,4291,235,1897-06-15,4/043
14,Mariage,15,7627,362,1795-02-10,n/a
15,Mariage,14,7626,171,1817-11-12,91/226
16,Mariage,16,6846,245,1695-02-10,n/a
17,Mariage,17,7231,245,1789-11-17,n/a
18,Mariage,18,6187,313,1895-01-08,123/146
19,Mariage,19,8289,5,1903-04-25,5/059
20,Mariage,20,5229,167,1694-09-16,8/010
21,Mariage,21,5555,167,1732-02-12,91/110
22,Mariage,22,7337,147,1830-11-23,174/179
23,Mariage,23,7888,238,1667-05-02,123/166
24,Mariage,24,7849,25,1732-06-20,41/057
25,Mariage,25,7679,146,1733-07-07,102/118
26,Mariage,26,5809,64,1807-01-21,n/a
27,Mariage,27,7188,347,1782-01-23,n/a
28,Mariage,28,4250,64,1858-07-26,n/a
29,Mariage,29,4103,25,1612-02-19,6/022
30,Mariage,34,3880,64,1739-06-17,53/119
31,Mariage,31,4387,64,1716-02-24,125/160
32,Mariage,33,4469,64,1688-07-07,2/146
33,Mariage,32,4867,64,1762-02-22,104/197
34,Mariage,38,4999,64,1707-07-06,140/189
35,Mariage,36,5344,64,1614-09-20,25/126
36,Mariage,37,6159,64,1744-02-12,32/133
37,Mariage,30,6554,64,1790-09-20,180/225
38,Mariage,38,6640,64,1685-02-26,94/152
39,Mariage,35,7951,64,1624-09-19,69/126
40,Mariage,40,7631,64,1738-09-25,39/119
41,Mariage,39,8020,64,1710-02-05,5/160
42,Mariage,41,6819,343,1900-08-06,100/110
43,Mariage,42,4448,64,1871-06-21,n/a
44,Mariage,43,6937,64,1851-06-18,n/a
45,Mariage,45,5690,129,1798-07-02,21/089
46,Mariage,46,5701,64,,n/a
